market_id,year,country,cricket_region,population,acs_variable
7,2024,Zimbabwe,Southern Africa,1387,B05006_103E
7,2024,Ireland,UK & Ireland,2426,B05006_005E
7,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,19706,B05006_008E
7,2024,Barbados,West Indies,1212,B05006_142E
7,2024,Guyana,West Indies,7372,B05006_171E
7,2024,Jamaica,West Indies,25394,B05006_148E
7,2024,Trinidad and Tobago,West Indies,9161,B05006_151E
8,2024,Australia and New Zealand Subregion,Australia & New Zealand,1634,B05006_131E
8,2024,Afghanistan,South Asia,867,B05006_057E
8,2024,Bangladesh,South Asia,10478,B05006_058E
8,2024,India,South Asia,88353,B05006_060E
8,2024,Nepal,South Asia,1317,B05006_063E
8,2024,Pakistan,South Asia,9739,B05006_064E
8,2024,Sri Lanka,South Asia,1120,B05006_065E
8,2024,South Africa,Southern Africa,1964,B05006_117E
8,2024,Zimbabwe,Southern Africa,726,B05006_103E
8,2024,Ireland,UK & Ireland,2863,B05006_005E
8,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,15010,B05006_008E
8,2024,Barbados,West Indies,1102,B05006_142E
8,2024,Guyana,West Indies,3304,B05006_171E
8,2024,Jamaica,West Indies,23204,B05006_148E
8,2024,Trinidad and Tobago,West Indies,6381,B05006_151E
9,2024,Australia and New Zealand Subregion,Australia & New Zealand,3653,B05006_131E
9,2024,Afghanistan,South Asia,2567,B05006_057E
9,2024,Bangladesh,South Asia,2888,B05006_058E
9,2024,India,South Asia,153413,B05006_060E
9,2024,Nepal,South Asia,2547,B05006_063E
9,2024,Pakistan,South Asia,30340,B05006_064E
9,2024,Sri Lanka,South Asia,1331,B05006_065E
9,2024,South Africa,Southern Africa,3012,B05006_117E
9,2024,Zimbabwe,Southern Africa,723,B05006_103E
9,2024,Ireland,UK & Ireland,6486,B05006_005E
9,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,15997,B05006_008E
9,2024,Barbados,West Indies,170,B05006_142E
9,2024,Guyana,West Indies,757,B05006_171E
9,2024,Jamaica,West Indies,7926,B05006_148E
9,2024,Trinidad and Tobago,West Indies,821,B05006_151E
10,2024,Australia and New Zealand Subregion,Australia & New Zealand,2263,B05006_131E
10,2024,Afghanistan,South Asia,4117,B05006_057E
10,2024,Bangladesh,South Asia,8919,B05006_058E
10,2024,India,South Asia,99092,B05006_060E
10,2024,Nepal,South Asia,2486,B05006_063E
10,2024,Pakistan,South Asia,9342,B05006_064E
10,2024,Sri Lanka,South Asia,704,B05006_065E
10,2024,South Africa,Southern Africa,5849,B05006_117E
10,2024,Zimbabwe,Southern Africa,1118,B05006_103E
10,2024,Ireland,UK & Ireland,1031,B05006_005E
10,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,15514,B05006_008E
10,2024,Barbados,West Indies,1571,B05006_142E
10,2024,Guyana,West Indies,8335,B05006_171E
10,2024,Jamaica,West Indies,48408,B05006_148E
10,2024,Trinidad and Tobago,West Indies,8363,B05006_151E
11,2024,Australia and New Zealand Subregion,Australia & New Zealand,3305,B05006_131E
11,2024,Afghanistan,South Asia,838,B05006_057E
11,2024,Bangladesh,South Asia,4651,B05006_058E
11,2024,India,South Asia,69537,B05006_060E
11,2024,Nepal,South Asia,5058,B05006_063E
11,2024,Pakistan,South Asia,4615,B05006_064E
11,2024,Sri Lanka,South Asia,1488,B05006_065E
11,2024,South Africa,Southern Africa,2735,B05006_117E
11,2024,Zimbabwe,Southern Africa,580,B05006_103E
11,2024,Ireland,UK & Ireland,10261,B05006_005E
11,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,18592,B05006_008E
11,2024,Barbados,West Indies,3122,B05006_142E
11,2024,Guyana,West Indies,1468,B05006_171E
11,2024,Jamaica,West Indies,12337,B05006_148E
11,2024,Trinidad and Tobago,West Indies,5996,B05006_151E
12,2024,Australia and New Zealand Subregion,Australia & New Zealand,1806,B05006_131E
12,2024,Afghanistan,South Asia,323,B05006_057E
12,2024,Bangladesh,South Asia,6229,B05006_058E
12,2024,India,South Asia,25856,B05006_060E
12,2024,Nepal,South Asia,815,B05006_063E
12,2024,Pakistan,South Asia,6377,B05006_064E
12,2024,Sri Lanka,South Asia,580,B05006_065E
12,2024,South Africa,Southern Africa,4760,B05006_117E
12,2024,Zimbabwe,Southern Africa,390,B05006_103E
12,2024,Ireland,UK & Ireland,2567,B05006_005E
12,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,18088,B05006_008E
12,2024,Barbados,West Indies,2467,B05006_142E
12,2024,Guyana,West Indies,11592,B05006_171E
12,2024,Jamaica,West Indies,143128,B05006_148E
12,2024,Trinidad and Tobago,West Indies,23451,B05006_151E
13,2024,Australia and New Zealand Subregion,Australia & New Zealand,1146,B05006_131E
13,2024,Afghanistan,South Asia,81,B05006_057E
13,2024,Bangladesh,South Asia,1965,B05006_058E
13,2024,India,South Asia,17487,B05006_060E
13,2024,Nepal,South Asia,435,B05006_063E
13,2024,Pakistan,South Asia,3645,B05006_064E
13,2024,Sri Lanka,South Asia,473,B05006_065E
13,2024,South Africa,Southern Africa,864,B05006_117E
13,2024,Zimbabwe,Southern Africa,454,B05006_103E
13,2024,Ireland,UK & Ireland,971,B05006_005E
13,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,11952,B05006_008E
13,2024,Barbados,West Indies,697,B05006_142E
13,2024,Guyana,West Indies,11263,B05006_171E
13,2024,Jamaica,West Indies,28505,B05006_148E
13,2024,Trinidad and Tobago,West Indies,7240,B05006_151E
14,2024,Australia and New Zealand Subregion,Australia & New Zealand,2104,B05006_131E
14,2024,Afghanistan,South Asia,2096,B05006_057E
14,2024,Bangladesh,South Asia,1761,B05006_058E
14,2024,India,South Asia,42230,B05006_060E
14,2024,Nepal,South Asia,1097,B05006_063E
14,2024,Pakistan,South Asia,1818,B05006_064E
14,2024,Sri Lanka,South Asia,476,B05006_065E
14,2024,South Africa,Southern Africa,1836,B05006_117E
14,2024,Zimbabwe,Southern Africa,409,B05006_103E
14,2024,Ireland,UK & Ireland,1289,B05006_005E
14,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,12505,B05006_008E
14,2024,Barbados,West Indies,836,B05006_142E
14,2024,Guyana,West Indies,351,B05006_171E
14,2024,Jamaica,West Indies,2745,B05006_148E
14,2024,Trinidad and Tobago,West Indies,801,B05006_151E
15,2024,Australia and New Zealand Subregion,Australia & New Zealand,1473,B05006_131E
15,2024,Afghanistan,South Asia,3101,B05006_057E
15,2024,Bangladesh,South Asia,2474,B05006_058E
15,2024,India,South Asia,48009,B05006_060E
15,2024,Nepal,South Asia,4651,B05006_063E
15,2024,Pakistan,South Asia,4295,B05006_064E
15,2024,Sri Lanka,South Asia,577,B05006_065E
15,2024,South Africa,Southern Africa,1591,B05006_117E
15,2024,Zimbabwe,Southern Africa,237,B05006_103E
15,2024,Ireland,UK & Ireland,943,B05006_005E
15,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,7549,B05006_008E
15,2024,Barbados,West Indies,78,B05006_142E
15,2024,Guyana,West Indies,223,B05006_171E
15,2024,Jamaica,West Indies,1027,B05006_148E
15,2024,Trinidad and Tobago,West Indies,1289,B05006_151E
16,2024,Australia and New Zealand Subregion,Australia & New Zealand,594,B05006_131E
16,2024,Afghanistan,South Asia,404,B05006_057E
16,2024,Bangladesh,South Asia,1552,B05006_058E
16,2024,India,South Asia,38968,B05006_060E
16,2024,Nepal,South Asia,1312,B05006_063E
16,2024,Pakistan,South Asia,1907,B05006_064E
16,2024,Sri Lanka,South Asia,619,B05006_065E
16,2024,South Africa,Southern Africa,901,B05006_117E
16,2024,Zimbabwe,Southern Africa,162,B05006_103E
16,2024,Ireland,UK & Ireland,483,B05006_005E
16,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,3952,B05006_008E
16,2024,Barbados,West Indies,83,B05006_142E
16,2024,Guyana,West Indies,196,B05006_171E
